Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018
"5000","World","3102","Nutrient nitrogen N (total)","5510","Production","tonnes","12680679.000000","13296729.000000","15224622.000000","17332962.000000","20009098.000000","22714708.000000","25453633.000000","27746890.000000","29790258.000000","32834366.000000","34797574.000000","37890637.000000","40562832.000000","41938615.000000","44103593.000000","45840524.000000","49743029.000000","55074463.000000","58797703.000000","61924606.000000","61453749.000000","62651086.000000","67451923.000000","73982695.000000","72828818.000000","76863274.000000","81131360.000000","84872801.000000","84295849.000000","81390341.000000","79906186.000000","79401095.000000","79317920.000000","79372075.000000","86084980.000000","89996464.000000","87157043.000000","88009236.000000","88793871.000000","84853097.000000","85417741.000000","87051246.230000","88392613.740000","93753915.340000","95014966.800000","94701146.000000","101914084.810000","99688580.800000","98259484.330000","106838151.130000","107196540.520000","109240812.610000","114852162.790000","115635403.960000","120226901.140000","119073445.480000","119441432.730000","119615318.270000"
"5000","World","3102","Nutrient nitrogen N (total)","5610","Import Quantity","tonnes","2852099.000000","2977434.000000","3357739.000000","3388090.000000","3994758.000000","5028860.000000","5390168.000000","6229414.000000","6485303.000000","6578845.000000","6599930.000000","7538171.000000","7947228.000000","7897911.000000","8020039.000000","8683976.000000","10094171.000000","11813429.000000","12610094.000000","12994989.000000","12218749.000000","12687655.000000","14976582.000000","16476227.000000","16560366.000000","16573138.000000","18103295.000000","19698253.000000","20307300.000000","19737224.000000","19749054.000000","20432992.000000","20609630.000000","21714709.000000","24815472.000000","24509822.000000","22743585.000000","24274399.000000","25381945.000000","27665959.000000","24828357.000000","23871903.940000","25805668.080000","27260976.400000","27426247.780000","27363272.990000","29795375.990000","29136632.030000","27300154.110000","30814697.000000","35124691.280000","35951600.000000","39346345.420000","39706127.250000","40215142.770000","41216285.790000","43141125.740000","42322210.440000"
"5000","World","3102","Nutrient nitrogen N (total)","5910","Export Quantity","tonnes","3448770.000000","3100271.000000","3307394.000000","3494264.000000","4062359.000000","4915553.000000","5498964.000000","6509868.000000","6496893.000000","6722081.000000","7151373.000000","8150819.000000","8328945.000000","8116583.000000","7082183.000000","8530812.000000","10236074.000000","11888147.000000","11891827.000000","13138883.000000","11513199.000000","12191598.000000","13747831.000000","16413204.000000","15074710.000000","17265599.000000","18527317.000000","19131788.000000","19969606.000000","19580853.000000","19516316.000000","19004945.000000","19963905.000000","21266750.000000","24715162.000000","24345215.000000","23280477.000000","23158684.000000","23887922.000000","23511518.000000","23546488.000000","23757532.200000","25431983.520000","26123320.340000","26753142.250000","26904898.230000","29673444.400000","27948100.180000","28644069.130000","34057969.650000","37166322.610000","38118981.460000","39300357.220000","40747596.140000","42989830.930000","43971018.230000","44397575.680000","43361277.260000"
"5000","World","3102","Nutrient nitrogen N (total)","5157","Agricultural Use","tonnes","11391804.270000","12855002.110000","14513072.480000","16264761.430000","18758908.200000","21830266.930000","23828395.370000","26041899.730000","28143365.270000","31343417.790000","33341699.150000","35826077.120000","38681530.990000","38304311.290000","43583776.050000","44775124.520000","48797637.210000","53458253.870000","56447201.520000","60049483.090000","60137215.370000","61137330.730000","65908823.970000","70089567.960000","70017620.990000","71907201.120000","75083108.070000","78848305.380000","78035445.880000","76421665.530000","74889795.800000","72908219.460000","71223619.560000","72279787.880000","77963205.390000","82356294.090000","80986854.720000","82558678.770000","84709334.030000","80727646.990000","81678691.570000","84355535.500000","86708606.000000","89567210.560000","90181622.780000","92549320.180000","96441722.970000","95243484.940000","96663112.400000","100473912.990000","104332111.560000","104871008.150000","106783569.000000","107343123.320000","106072236.150000","107943737.230000","109905248.430000","108657995.070000"
"5000","World","3103","Nutrient phosphate P2O5 (total)","5510","Production","tonnes","11141525.000000","11735108.000000","13178919.000000","14948801.000000","16601519.000000","18285116.000000","19029405.000000","19288378.000000","20193729.000000","21850758.000000","23446520.000000","26099215.000000","26357564.000000","26876473.000000","26099837.000000","27951848.000000","30079889.000000","31049729.000000","32988696.000000","34247245.000000","31433196.000000","32287668.000000","35082137.000000","36659331.000000","34900602.000000","37237537.000000","39010070.000000","41384983.000000","39756654.000000","38976360.000000","38561151.000000","34150381.000000","31714638.000000","32050698.000000","33434168.000000","33515662.000000","32991446.000000","33251054.000000","32999032.000000","31819884.000000","33646921.000000","33976765.780000","34466174.300000","36767859.220000","37945794.260000","38016790.330000","38648043.380000","35745923.120000","35304203.500000","44106393.400000","44491034.920000","43688175.350000","43384297.130000","44859119.380000","46428569.620000","47673301.740000","45996134.680000","44207484.550000"
"5000","World","3103","Nutrient phosphate P2O5 (total)","5610","Import Quantity","tonnes","1300822.000000","1471257.000000","1736704.000000","1803138.000000","1755994.000000","2107494.000000","2660861.000000","2604802.000000","2643446.000000","2651644.000000","3030633.000000","3661360.000000","4118372.000000","3997789.000000","3877854.000000","3851212.000000","4409848.000000","5724954.000000","5816171.000000","6597869.000000","5473324.000000","6169638.000000","6764015.000000","8159044.000000","8065872.000000","7743588.000000","8689386.000000","9331720.000000","10153538.000000","9753540.000000","10323734.000000","10698972.000000","10492524.000000","10884544.000000","11651972.000000","11462931.000000","12680474.000000","12715705.000000","13285645.000000","12038809.000000","11461382.000000","12688110.110000","14752770.640000","15723986.590000","13544057.240000","13585907.610000","14796516.850000","13366307.650000","11974625.060000","14524742.260000","17084833.950000","16002989.450000","16437182.390000","17894576.250000","18439378.950000","18427704.620000","20473633.550000","20557125.390000"
"5000","World","3103","Nutrient phosphate P2O5 (total)","5910","Export Quantity","tonnes","1270877.000000","1325526.000000","1558413.000000","1678428.000000","1789597.000000","2240547.000000","2830193.000000","2868440.000000","2718471.000000","2898631.000000","3359945.000000","3853556.000000","4101070.000000","4209514.000000","3695777.000000","4173637.000000","5443592.000000","6277046.000000","6689942.000000","7404999.000000","6377970.000000","7054138.000000","8148744.000000","9074133.000000","7875330.000000","9315938.000000","9855104.000000","10036563.000000","10336200.000000","10390992.000000","11073588.000000","10534758.000000","10996495.000000","12165259.000000","12322741.000000","11962601.000000","12140926.000000","12556021.000000","12612451.000000","11597681.000000","11674537.000000","12905970.790000","13173434.720000","13982585.270000","12813729.450000","13084856.230000","14144818.930000","12254310.390000","12018972.620000","15006638.980000","16325951.460000","15840390.870000","16255284.610000","17587415.320000","18904459.600000","18622230.820000","20250494.550000","21042371.890000"
"5000","World","3103","Nutrient phosphate P2O5 (total)","5157","Agricultural Use","tonnes","10854951.810000","11493103.430000","12776659.670000","14391099.190000","15604203.330000","17196110.300000","17995953.640000","18883230.640000","19751791.310000","20942312.190000","22309483.180000","23816921.780000","25769677.020000","24055750.110000","25224371.940000","27114222.770000","28685159.470000","29823931.050000","31169317.930000","31614840.900000","31088141.820000","31191129.030000","32753699.910000","34385222.810000","33487389.070000","34678691.020000","36097384.250000","37452673.890000","37305520.120000","35847014.590000","35070662.160000","30901632.950000","28756125.700000","29560723.240000","30580103.930000","31026034.350000","33257604.710000","33310529.190000","33198808.260000","32375481.030000","32935884.200000","34352051.130000","35305499.800000","37960702.780000","38152036.110000","39326774.620000","39162874.970000","35542901.120000","37440254.520000","42946052.290000","44252873.570000","43127659.280000","43783218.430000","44058364.910000","43267001.820000","45088092.620000","42984054.310000","40647923.980000"
"5000","World","3104","Nutrient potash K2O (total)","5510","Production","tonnes","9365603.000000","9829069.000000","10854381.000000","12193257.000000","13836114.000000","14453435.000000","15208048.000000","15775458.000000","16592169.000000","17470504.000000","18923621.000000","19610860.000000","21673970.000000","23116161.000000","22911078.000000","24683601.000000","25430435.000000","26244865.000000","25852485.000000","27457515.000000","25654057.000000","24414229.000000","27884366.000000","28769576.000000","28311500.000000","28786806.000000","30847002.000000","31221641.000000","28742002.000000","26822658.000000","24981706.000000","23201026.000000","19798747.000000","22877065.000000","22703628.000000","22855045.000000","25508450.000000","25600813.000000","25360599.000000","26157189.000000","25917219.000000","26635044.350000","29398556.530000","32133156.360000","31514506.870000","32154363.530000","35285212.830000","30450016.360000","23328236.560000","35023361.510000","37066437.600000","35614370.310000","35853564.350000","41648877.220000","41647133.390000","41113243.670000","43992073.490000","44518636.750000"
"5000","World","3104","Nutrient potash K2O (total)","5610","Import Quantity","tonnes","3670777.000000","3870270.000000","4528556.000000","5121745.000000","5848232.000000","6305975.000000","7660205.000000","7986142.000000","8806957.000000","9209618.000000","10056881.000000","10868921.000000","12817396.000000","12884674.000000","12224617.000000","13660262.000000","14828351.000000","15011625.000000","15377612.000000","16179833.000000","15336112.000000","15199275.000000","16365880.000000","18118502.000000","17358791.000000","17570283.000000","19434772.000000","19168267.000000","18596981.000000","19213356.000000","17989964.000000","18467665.000000","17354016.000000","19767732.000000","20612848.000000","20031127.000000","22160662.000000","22559514.000000","23360623.000000","23355366.000000","21631118.000000","23895477.570000","25097756.980000","29513400.690000","29140061.720000","26640620.730000","30963214.950000","31459951.090000","14598870.210000","27564125.120000","30686838.100000","27724019.140000","29134050.040000","33714643.530000","33611453.360000","32200505.800000","39416186.610000","38094395.500000"
